reading,display,note
ふぃーるどせーるす,FS,Field Sales 略称
フィールドセールス,FS,Field Sales 略称
field sales,FS,Field Sales 略称
いんさいどせーるす,IS,Inside Sales 略称
インサイドセールス,IS,Inside Sales 略称
inside sales,IS,Inside Sales 略称
かすたまーさくせす,CS,Customer Success 略称
カスタマーサクセス,CS,Customer Success 略称
customer success,CS,Customer Success 略称
きーあかうんと,KA,Key Account 略称
キーアカウント,KA,Key Account 略称
key account,KA,Key Account 略称
あかうんとえぐぜくてぃぶ,AE,Account Executive 略称
アカウントエグゼクティブ,AE,Account Executive 略称
えすでぃーあーる,SDR,Sales Development Representative
びーでぃーあーる,BDR,Business Development Representative
びぃーぴーおぶえんたーぷらいず,VP of Enterprise,役職
えーびぃーぴー,AVP,Associate Vice President
えむあーるあーる,MRR,Monthly Recurring Revenue
あーるあーる,ARR,Annual Recurring Revenue
えぬあーるあーる,NRR,Net Revenue Retention
えぬぴーえす,NPS,Net Promoter Score
ちゃーん,Churn,解約
あっぷせる,Upsell,
くろすせる,Cross-sell,
おんぼーでぃんぐ,オンボーディング,
りーど,リード,見込み顧客
あぽ,アポ,商談アポイント
あぽいんと,アポ,商談アポイント
しょうだん,商談,
えむてぃーじー,MTG,Meeting 略称
ミーティング,MTG,
くおーたー,Q,四半期 (Quarter)
えっくす,X (旧 Twitter),
えすえふ,SF,Salesforce 略称
せーるすふぉーす,Salesforce,
salesforce,Salesforce,
すらっく,Slack,
slack,Slack,
のーしょん,Notion,
notion,Notion,
ずーむ,Zoom,
zoom,Zoom,
てぃーむず,Teams,Microsoft Teams
google meet,Google Meet,
じぇみない,Gemini,Google Gemini
じぇみないえーあい,Gemini,Google Gemini
ちゃっとじーぴーてぃー,ChatGPT,OpenAI
くろーど,Claude,Anthropic
おーぷんえーあい,OpenAI,
あんすろぴっく,Anthropic,
あいおーえす,iOS,Apple OS
あいおす,iOS,Apple OS
あんどろいど,Android,Google OS
あーるえぬディー,R&D,Research & Development
えいちあーる,HR,Human Resources
ぴーえむ,PM,Product Manager / Project Manager
ぴーお,PO,Product Owner
えむvp,MVP,Minimum Viable Product
ぴーえむえふ,PMF,Product Market Fit
えーびーてすと,A/B テスト,
えーぴーあい,API,Application Programming Interface
えすでぃーけー,SDK,Software Development Kit
ゆーあーる,URL,
えーあい,AI,
えるえるえむ,LLM,Large Language Model
あーるえーじー,RAG,Retrieval-Augmented Generation
えるえるえむえーじぇんと,LLM Agent,
えーじぇんと,Agent,
